Address,Creation Time,Self-destructed Time,Num. of Trans,Balance,Mark
0x19c630bb6d3e7c2cfe77e2a73627c9bee2db8ac5,Aug-16-2018 03:17:35 PM,Aug-16-2018 03:20:18 PM,2,0 Ether,suicide
0xd13c4ce99da44714b7c1aedb40f673fb3c5b20ad,Mar-10-2018 01:23:58 PM,Aug-06-2018 03:28:26 AM,84,0 Ether,suicide
0x2282a327a9293895cacbce617b194e6031d6ffa4,Feb-09-2018 09:40:42 AM,Feb-09-2018 11:51:18 AM,12,0 Ether,suicide
0xa0eb827c013d3c5170cbb1f57a5f83f1c41caf74,Oct-24-2017 08:30:28 AM,Nov-08-2017 01:48:59 PM,123,0 Ether,suicide
0x8194df136b53dba129191e5460cd8c6745d150e9,Jun-25-2018 09:04:37 AM,Jun-25-2018 09:17:36 AM,3,0 Ether,suicide
0x2df5c5eb37fba9b386cf0b39e6b209687ca67559,Dec-02-2018 07:03:30 PM,Dec-31-2018 11:10:03 PM,7,0 Ether,suicide
0x466f39a5fd8d1bd54ea7e82975177c0f00c68492,Mar-31-2016 10:15:25 AM,Mar-31-2016 12:36:48 PM,8,0 Ether,suicide
0xf8e89d113924300b38615ceb5719709569ebec6b,Feb-07-2018 04:32:15 AM,Feb-07-2018 11:27:54 AM,8,0 Ether,suicide
0xf0a924661b0263e5ce12756d07f45b8668c53380,Jul-24-2017 05:01:44 PM,Jun-28-2018 08:34:26 AM,705,37.508459473215928974 Ether,suicide
0xfeac34425a3ba2fafbbeedb367ac5f4b4bb701d2,Nov-20-2017 06:49:56 PM,Jun-23-2018 04:08:28 PM,159,0 Ether,suicide
0xc3541f0c65d54088519999a09f40884282d5e374,Jun-16-2018 08:01:21 AM,Nov-10-2018 10:29:25 AM,1087,0 Ether,suicide
0xb3707eabedf0e9daf1b9d91b881e05dd69bf0ce6,Oct-18-2017 06:19:45 PM,Oct-22-2017 04:37:53 PM,3,0 Ether,suicide
0x0aac73a7098578bcb34ed305e63a9bd4e9f9bb07,Feb-15-2018 05:16:27 AM,Feb-15-2018 05:46:00 AM,7,0.3 Ether,suicide
0xbd3476e32de1077e049d0c4767c650230be38bda,Jun-25-2018 05:46:14 PM,Jun-25-2018 11:34:42 PM,26,0 Ether,suicide
0xd1195c7dae5d4402ded616b7f3d41524614ef1e3,Feb-26-2018 12:04:22 PM,Feb-27-2018 05:34:34 AM,8,0 Ether,suicide
0x8b801af263b32a118575fc85e44fa05a2e8f6b36,Jun-02-2018 04:52:42 AM,Jul-20-2018 04:36:47 AM,3,0 Ether,suicide
